Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,65.405,-64.389,90.0,bottom
C2,100nF,C_0402_1005Metric,60.77,-64.0,90.0,bottom
C3,100nF,C_0402_1005Metric,54.229,-76.51375,270.0,bottom
C4,10uF,C_0402_1005Metric,57.2,-64.0,90.0,bottom
C5,1uF,C_0402_1005Metric,66.421,-71.247,270.0,bottom
C6,100nF,C_0402_1005Metric,58.4,-64.0,90.0,bottom
C7,100nF,C_0402_1005Metric,64.135,-64.9605,90.0,bottom
C8,100nF,C_0402_1005Metric,53.721,-68.834,90.0,bottom
C9,100nF,C_0402_1005Metric,55.499,-76.51375,270.0,bottom
C10,100nF,C_0402_1005Metric,59.6,-64.0,90.0,bottom
C11,100nF,C_0402_1005Metric,62.992,-65.532,90.0,bottom
C12,100nF,C_0402_1005Metric,62.611,-77.0,270.0,bottom
C13,22pF,C_0402_1005Metric,58.163,-80.722,225.0,bottom
C14,22pF,C_0402_1005Metric,53.718,-84.532,45.0,bottom
C15,1uF,C_0402_1005Metric,52.3875,-57.15,270.0,bottom
C16,1uF,C_0402_1005Metric,55.5625,-61.69025,180.0,bottom
C17,100nF,C_0402_1005Metric,79.0,-71.25,270.0,bottom
C18,100nF,C_0402_1005Metric,67.5,-76.75,0.0,bottom
C19,100nF,C_0402_1005Metric,65.5,-113.25,270.0,bottom
C20,100nF,C_0402_1005Metric,59.25,-116.5,270.0,bottom
C21,100nF,C_0402_1005Metric,63.25,-125.25,270.0,bottom
C22,100nF,C_0402_1005Metric,76.5,-120.0,270.0,bottom
C23,100nF,C_0402_1005Metric,80.25,-118.3,270.0,bottom
C24,100nF,C_0402_1005Metric,68.5,-123.25,270.0,bottom
C25,100nF,C_0402_1005Metric,269.0,-118.25,270.0,bottom
C26,100nF,C_0402_1005Metric,272.75,-125.25,270.0,bottom
C27,100nF,C_0402_1005Metric,286.1,-119.6,270.0,bottom
